muni_code,muni_name,pref_code,base_url,procurement_url,detection_method,confidence,score,page_title,kw_count,has_recent
082023,日立市,08,https://www.city.hitachi.lg.jp/,https://www.city.hitachi.lg.jp/kigyo/nyusatsu_keiyaku_koji/,db_url_path_dir,high,10,入札・契約・工事情報｜日立市公式ウェブサイト,4,True
082031,土浦市,08,https://www.city.tsuchiura.lg.jp/index.html,https://www.city.tsuchiura.lg.jp/shigoto-sangyo/nyusatsu-keiyaku/,db_url_path_dir,high,10,入札・契約情報&nbsp;|&nbsp;土浦市公式ホームページ,10,True
082040,古河市,08,https://www.city.ibaraki-koga.lg.jp/,https://www.city.ibaraki-koga.lg.jp/services/s_downlord/nyuusatsu_keiyaku/,db_url_path_dir,high,10,入札・契約／古河市公式ホームページ,6,True
082058,石岡市,08,https://www.city.ishioka.lg.jp/,https://www.city.ishioka.lg.jp/shigoto_sangyo_machi/hacchu/nyusatsukekka/reiwa7/page011746.html,homepage_link,high,10,条件付き一般競争入札結果（建設工事）（令和7年度）&nbsp;|&nbsp;石岡市公式ホームページ,9,True
082074,結城市,08,https://www.city.yuki.lg.jp/,https://www.city.yuki.lg.jp/search.php?keyword=%E5%85%A5%E6%9C%AD,homepage_link,high,7,サイト内検索 結果一覧&nbsp;|&nbsp;結城市公式ホームページ,9,True
082082,龍ケ崎市,08,https://www.city.ryugasaki.ibaraki.jp/,https://www.city.ryugasaki.ibaraki.jp/jigyosha/nyusatsu/index.html,homepage_link,high,10,入札・契約｜龍ケ崎市公式ホームページ,8,True
082104,下妻市,08,https://www.city.shimotsuma.lg.jp/,https://www.city.shimotsuma.lg.jp/kanko-business-sangyo/nyusatsu-keiyaku/,db_url_path_dir,high,10,入札・契約&nbsp;|&nbsp;下妻市公式ホームページ,7,True
082112,常総市,08,https://www.city.joso.lg.jp/,https://www.city.joso.lg.jp/kurashi_gyousei/jigyousha/nyusatsu_keiyaku/page004056.html,homepage_link,high,10,入札結果（令和7年度）&nbsp;|&nbsp;常総市公式ホームページ,5,True
082120,常陸太田市,08,https://www.city.hitachiota.ibaraki.jp/,https://www.city.hitachiota.ibaraki.jp/page/dir002297.html,db_title,high,10,小規模工事等契約希望者登録制度 &nbsp;|&nbsp;常陸太田市公式ホームページ,3,True
082147,高萩市,08,https://www.city.takahagi.ibaraki.jp/index.html,https://www.city.takahagi.ibaraki.jp/jigyousha/nyusatsu_keiyaku/,db_url_path_dir,high,10,入札・契約&nbsp;|&nbsp;高萩市公式ホームページ,5,True
082155,北茨城市,08,https://www.city.kitaibaraki.lg.jp/,https://www.city.kitaibaraki.lg.jp/docs/2024071700025/,homepage_link,high,10,建設工事等の入札結果の公表 | 北茨城市,7,True
082163,笠間市,08,https://www.city.kasama.lg.jp/index.html,https://www.city.kasama.lg.jp/page/dir000017.html,db_title,high,10,入札・契約&nbsp;|&nbsp;笠間市公式ホームページ,11,True
082171,取手市,08,https://www.city.toride.ibaraki.jp/,https://www.city.toride.ibaraki.jp/jigyosha/nyusatsu/,db_url_path_dir,high,7,取手市／入札・契約・募集,4,False
082198,牛久市,08,https://www.city.ushiku.lg.jp/,https://www.city.ushiku.lg.jp/page/dir002161.html,homepage_link,high,10,入札契約情報&nbsp;|&nbsp;牛久市公式ホームページ,8,True
082201,つくば市,08,https://www.city.tsukuba.lg.jp/,https://www.city.tsukuba.lg.jp/nusatsu/index.html,homepage_link,high,10,入札のひろば／つくば市公式ウェブサイト,10,True
082210,ひたちなか市,08,https://www.city.hitachinaka.lg.jp/,https://www.city.hitachinaka.lg.jp/business/nyusatsu/index.html,homepage_link,high,10,入札・契約情報｜ひたちなか市公式ウェブサイト,4,True
082228,鹿嶋市,08,https://www.city.kashima.ibaraki.jp/,https://www.city.kashima.ibaraki.jp/soshiki/21/,db_title_dir,high,10,契約検査室 - 鹿嶋市ホームページ,11,True
082236,潮来市,08,https://www.city.itako.lg.jp/,https://www.city.itako.lg.jp/search.php?keyword=%E5%85%A5%E6%9C%AD,homepage_link,high,7,サイト内検索 結果一覧&nbsp;|&nbsp;潮来市公式ホームページ,6,True
082244,守谷市,08,https://www.city.moriya.ibaraki.jp/,https://www.city.moriya.ibaraki.jp/sangyo_business/nyusatsu/index.html,homepage_link,high,7,入札｜守谷市公式サイト｜Moriya City,3,False
082252,常陸大宮市,08,https://www.city.hitachiomiya.lg.jp/,https://www.city.hitachiomiya.lg.jp/kurashi_gyousei/business/nyusatsu/,db_url_path_dir,high,10,入札・契約&nbsp;|&nbsp;常陸大宮市公式ホームページ,11,True
082260,那珂市,08,https://www.city.naka.lg.jp/,https://www.city.naka.lg.jp/sangyou/,homepage_link,high,10,産業・入札&nbsp;|&nbsp;那珂市公式ホームページ,10,True
082279,筑西市,08,https://www.city.chikusei.lg.jp/index.html,https://www.city.chikusei.lg.jp/jigyousha/nyusatsu-news/,db_url_path_dir,high,7,入札・契約に関するお知らせ&nbsp;|&nbsp;筑西市公式ホームページ,6,False
082287,坂東市,08,https://www.city.bando.lg.jp/,https://www.city.bando.lg.jp/page/page010879.html,homepage_link,high,8,【中止】市有地の売払い（公募型プロポーザル）&nbsp;|&nbsp;坂東市公式ホームページ,2,True
